epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,793.426,1.13292,2.0031,1.25451,0.68486,0.83872,0.90199,0.62893,1.10015,1.67154,1.20452,0.000550792,0.000550792,0.000550792
2,1628.56,0.97777,1.1549,1.10191,0.68039,0.84701,0.89358,0.63144,1.02808,1.55836,1.16086,0.00099692,0.00099692,0.00099692
3,2490.35,0.93213,0.88797,1.07974,0.72671,0.92948,0.93179,0.71774,0.90498,1.04864,1.07301,0.00133302,0.00133302,0.00133302
4,3357.84,0.88913,0.70263,1.0487,0.91738,0.93649,0.97412,0.75591,0.8691,0.63276,1.05798,0.0011719,0.0011719,0.0011719
5,4291.06,0.8276,0.62079,1.01291,0.95443,0.96854,0.98568,0.77383,0.83044,0.50919,1.00407,0.00100687,0.00100687,0.00100687
6,5282.57,0.7975,0.56017,0.99313,0.93877,0.97554,0.98298,0.77424,0.84121,0.49511,1.0137,0.000841835,0.000841835,0.000841835
7,6424.52,0.74654,0.49903,0.96684,0.93967,0.96196,0.98282,0.79479,0.771,0.49956,0.97646,0.000676802,0.000676802,0.000676802
8,7399.97,0.7215,0.47478,0.95436,0.94844,0.9769,0.9872,0.81009,0.73917,0.41232,0.95153,0.000511769,0.000511769,0.000511769
9,8425.16,0.68275,0.44215,0.93805,0.95117,0.96687,0.9867,0.83308,0.67393,0.38127,0.92547,0.000346736,0.000346736,0.000346736
10,9337.22,0.64995,0.40925,0.92698,0.95731,0.96782,0.98699,0.84475,0.64503,0.3589,0.91498,0.000181703,0.000181703,0.000181703
